Driver Name,Team,Practice 1,Practice 2,Practice 3,Qualifying,Final Position
DanielRicciardoRIC,RB Honda RBPT,92.869,91.51599999999999,91.449,90.27799999999999,13
LandoNorrisNOR,McLaren Mercedes,92.90100000000001,92.608,91.118,89.614,6
OscarPiastriPIA,McLaren Mercedes,93.113,90.78399999999999,91.21000000000001,89.68299999999999,8
YukiTsunodaTSU,RB Honda RBPT,93.18299999999999,91.881,91.631,90.129,14
FernandoAlonsoALO,Aston Martin Aramco Mercedes,93.193,90.66,90.965,89.542,9
MaxVerstappenVER,Red Bull Racing Honda RBPT,93.238,90.851,91.062,89.179,1
GeorgeRussellRUS,Mercedes,93.251,90.58,91.19,89.485,5
CharlesLeclercLEC,Ferrari,93.268,91.113,91.094,89.407,4
LewisHamiltonHAM,Mercedes,93.30199999999999,90.374,91.452,89.71000000000001,7
ValtteriBottasBOT,Kick Sauber Ferrari,93.354,92.001,92.096,90.756,19
CarlosSainzSAI,Ferrari,93.38499999999999,90.769,90.824,89.507,3
SergioPerezPER,Red Bull Racing Honda RBPT,93.413,91.115,91.248,89.537,2
AlexanderAlbonALB,Williams Mercedes,93.583,91.333,91.965,90.221,15
LanceStrollSTR,Aston Martin Aramco Mercedes,93.868,90.89099999999999,91.396,90.2,10
ZhouGuanyuZHO,Kick Sauber Ferrari,93.923,92.048,92.0,90.757,11
LoganSargeantSAR,Williams Mercedes,94.213,91.715,92.125,90.77,20
EstebanOconOCO,Alpine Renault,94.807,92.027,92.124,90.793,17
PierreGaslyGAS,Alpine Renault,95.144,91.951,92.382,90.94800000000001,18
KevinMagnussenMAG,Haas Ferrari,97.477,91.764,91.67099999999999,90.529,12
NicoHulkenbergHUL,Haas Ferrari,97.938,90.884,91.27799999999999,90.502,16
